student_id;gender;CW;CH;SH;PL;RI;ME;TW;CF;E/I;S/N;T/F;J/P;group_1;group_2;has_belbin;has_mbti
1;F;14;13;44;3;3;0;16;7;;;;;4;;1;0
2;F;15;9;14;15;12;6;9;19;;;;;;;1;0
3;F;17;0;10;26;7;10;7;22;;;;;3;;1;0
4;F;;;;;;;;;;;;;;;0;0
5;F;11;16;20;11;13;9;10;10;;;;;1;;1;0
6;M;12;14;14;11;11;12;14;12;;;;;5;;1;0
7;F;7;21;7;10;17;1;27;9;;;;;4;;1;0
8;F;13;13;14;12;11;8;14;15;;;;;;;1;0
9;M;;;;;;;;;;;;;6;;0;0
10;M;11;10;23;13;11;14;13;4;;;;;6;;1;0
11;F;9;10;20;10;11;4;21;15;;;;;8;;1;0
12;F;16;10;12;12;12;10;14;14;;;;;4;;1;0
13;M;13;15;14;11;11;12;14;12;;;;;;;1;0
14;F;8;24;16;8;9;7;16;11;;;;;1;;1;0
15;M;20;11;9;4;9;21;17;9;;;;;2;;1;0
16;F;10;17;25;12;13;4;17;1;;;;;8;;1;0
17;F;;;;;;;;;;;;;;;0;0
18;F;21;21;13;6;3;11;16;9;;;;;5;;1;0
19;F;18;8;21;4;13;0;30;6;;;;;5;;1;0
20;F;15;15;19;1;9;12;22;7;;;;;3;;1;0
21;F;15;13;6;5;10;6;24;21;;;;;1;;1;0
22;M;15;11;13;13;11;12;15;10;;;;;;;1;0
23;M;7;4;12;25;10;0;19;23;;;;;4;;1;0
24;F;11;14;20;9;9;14;17;6;;;;;;;1;0
25;M;13;7;24;17;3;17;9;10;;;;;7;;1;0
26;F;9;17;16;13;11;7;16;11;;;;;5;;1;0
27;F;4;7;39;4;19;3;10;14;;;;;3;;1;0
28;F;11;19;16;10;7;9;17;11;;;;;6;;1;0
29;F;;;;;;;;;;;;;3;;0;0
30;F;23;7;16;3;12;13;23;3;;;;;8;;1;0
31;M;13;12;12;13;12;13;12;12;;;;;;;1;0
32;F;4;9;22;7;29;10;13;6;;;;;;;1;0
33;M;11;8;18;20;9;12;12;9;;;;;7;;1;0
34;F;10;12;15;10;12;10;19;12;;;;;;;1;0
35;M;;;;;;;;;;;;;;;0;0
36;M;16;9;9;13;10;16;19;10;;;;;7;;1;0
